Business Group,Business Type
Animal Care & Services,"Pet walking, Pet grooming, Pet Boarding & Pet Sitting, Vetinary Services, Pet Training, Animal Shelter"
Food & Beverage Establishments,"Restaurants, Quick Service Restaurants, Bakeries, Donuts, Pastery Shops, Sushi, Cafes, Coffee Roasters, Breweries, Distilleries, Wine Bars, Bars, Sandwich Shops, Tacos, Bars (exclude grocery stores), Ice cream"
Real Estate & Property Management,"Real Estate Agencies, Escrow Services, Title Services, Property Management"
Cleaning & Remediation,"maid services, house cleaning services, office cleaning services, commercial cleaning services, Dry cleaning, Specialty cleaning services, fire water and mold restoration, HAZMAT cleaning services, Window cleaning services, Pool cleaning, Carpet & upholstry cleaning services, Grease trap cleaning, Portable toilets services, Septic cleaning services"
Security,"Security Services, Security Alarms, Fire Alarms"
"Logistics, Warehousing & Distribution","Last Mile Delivery, Couriier Services, Long Haul Trucking, Warehouse, Distribution Center, Logistics, Ports, Distribution, Dispatch & Routing, Transport Services, Limo Services, Shuttle Services, Pet Taxi,  Delivery Specialist, Cannabis Delivery Specialis, Freight brokerage services"
"Landscaping, Groundskeeping & Pest Control","Landscape Architects & Design Firms, Landscapers, Landscape Construction, Tree Trimming Services, Tree Specialists, Pest Control, Golf Course, Pool Builder, Pool Maintenance & Service"
"Bookkeeping, Accounting & Payroll Services","Bookkeeping, Payroll, Accounting Firms, Personal Accountants"
Recruiting & Staffing Agencies,"Staffing & recruiting house cleaning, Industrial Staffing & Recruiting, Staffing & Recruiting Services, Recruiter, Accounting & Payroll Staffing & Recruiting, Customer Service Staffing & Recruiting, Sales Staffing & Recruiting, Admin Staffing & Recruiting, Manufacturing Staffing & Recruiting. Security Staffing, Video & Audio Production Staffing & Recruiting, Property Management Staffing & Recruiting, Staffing & Recruiting Mechanics"
"Hotels & Lodging, Motels, Resorts, Casinos, Banquets","Hotels & Lodging, Motels, Resorts, Casinos, Banquets"
Grocery Stores & Large Retailers & Specialty Food & Beverage Vendors & Retailers,"Grocery Stores, Supermarkets, Butcher, Seafood Market, Department Store, Retail, Marijuana Retail, Public Storage, Pet supply, Clothing, watches, jewelry, art gallery, Luxury Goods, furniture, Garden & Plants Store, electronics, computer and smartphone repair, Appliance repair, construction supplies, hardware store, flower shop, furniture repair, toys and gifts, Fashion and Apparel, Tailors, Dry Cleaners, Home Goods, Beauty and Personal Care, Arts & Crafts supply, Health and Wellness Products, Sporting & Outdoors Goods, Footwear, Book Shop, framing shop, shoe repair, Liquor store, Parking Garage, Medical equipment service and repair, Upholstery"
Auto & Equipment Sales & Maintenance & Rentals,"car dealerships, RV sales, automotive maintenance service, light diesel service, heavy diesel service, Truck Maintenance, motorcycle service, Car Wash, Auto Detail, autobody shops, auto speakers install, Car rentals, construction equipment sales & rentals, Automotive Sales, Auto Window Tinting, Auto Wraps, Auto Glass, Trailer Repair, Small Engine Repair"
Amusement & Recreation & Cultural Centers & Golf Courses,"Go Carting, Bowling Alley, Movie Theater, Museums, Gardens, Recreational pool facility, Water Park, Amusement Parks, kids centers, Theme Park, Arcade, Zoos & Aquariums, Escape Room"
"Performance Venues, Convention Centers & Performance Theaters & Event Centers & Arenas & Venues","Event Center, Stadiums, Convention Centers, Nightclubs, Comedy Clubs, Performance Theaters, Music Venue, Concert Hall, Event Planning"
"Acting, Models & Photography","Talent agency, Modeling agencies, Theatrical agencies, Headshots, Photographers"
"Beauty, Massage & Spa","Beauty salon, Nail Salons, Massage, Spa, Barber, Tattoo, Piercing"
"Marketing, Media & Content Creation","Marketing agencies, SEO marketing, App Marketing, Digital Marketing, Marketing Video Production, Social Media Marketing, Digital Advertising, Video Production, Audio Production, Graphic Design"
Newspapers & Magazines,"Newspaper, Magazine"
Construction & Infrastructure & Commercial Buildings & Appliance Maintenance,"General Contractor, Subcontractor construction, Water Utility, Gas Utility, Electrical Utility, Telecom Utility, Road Construction, Civil Construction, Commercial Construction, Residential Construction, Excavation, Concrete Delivery, Core Drilling, Siding Services, Plaster Services, Insulation Install Services, Painting Services, Residential electrician, Commercial electrician, Industrial Electrician, Residential solar, Commercial solar, Industrial Solar, Wind Power Install & Maintenance, Telecom tower services, Audio Visual residential systems install, Audio Visual commercial install, Locksmith, residential HVAC services, Commercial HVAC services, Commercial HVAC refrigeration services, Residential plumbing services, Commercial plumbing services, Residential roofing services, Commercial roofing services, gutter install services, Masonry services, Tiling install, Flooring install, Epoxy flooring services, Carpet install, Window install services, Door install services, Garage door services, Window cleaning residential, Window cleaning commercial, window tinting buildings, Elevator install & maintenance"
"Doctors, Health Services, Retirement & Care Facilities,","Primary Care Physicians, Orthopedic, Neurosurgeon, Neurologist, Cardiovascular, Thoracic, Plastic Surgeon, Otolaryngologist, Dermatologist, Gastroenterologist, Obstetrics, Gynecology, Oncologist, Psychiatrist, Endocrinologist, Pulmonologist, Hematologist, Rheumatologist, Urologist, Infectious disease specialist, Ophthalmologist, Urgent Care, Emergency Room, Hospital, Nursing Home, Medical Clinic, Assisted Living, Radiologist, Hospice, Home Care, Allergist, Pain Management, Physiatrist, Sports Medicine, Physical Therapy, Physical Rehabilitation, Chiropractor, Dentist"
Fitness & Wellness,"Athletic Center, Gym & Fitness Studio, Yoga studio, Crossfit, Climbing Gym, Acrobatics, Karate (Boxing Taekwondo, Jiu-Jitsu, Muay Thai, Kung Fu, Krav Maga, Judo, Shotokan), Boxing, Cycling, Dance school"
